region,subject,Time,condition,Value
AGR,10,-0,vaa_iaa,0.3504761411949212
AGR,10,0.8333,vaa_iaa,0.3586322538089986
AGR,10,1.6666999999999998,vaa_iaa,0.3630427548384242
AGR,10,2.5,vaa_iaa,0.36355192351261767
AGR,10,3.3333,vaa_iaa,0.3600787687255428
AGR,10,4.1667,vaa_iaa,0.35262157912394315
AGR,10,5,vaa_iaa,0.3412607755652915
AGR,10,5.8332999999999995,vaa_iaa,0.3261599706667357
AGR,10,6.6667000000000005,vaa_iaa,0.30756517933178934
AGR,10,7.5,vaa_iaa,0.28580216487029997
AGR,10,8.3333,vaa_iaa,0.26127194671807147
AGR,10,9.1667,vaa_iaa,0.23444453689757094
AGR,10,10,vaa_iaa,0.20585101232615272
AGR,10,10.833300000000001,vaa_iaa,0.1760740679823492
AGR,10,11.6667,vaa_iaa,0.1457372309381768
AGR,10,12.5,vaa_iaa,0.1154929465717135
AGR,10,13.3333,vaa_iaa,0.08600977518616171
AGR,10,14.1667,vaa_iaa,0.05795895917162272
AGR,10,15,vaa_iaa,0.0320006372549968
AGR,10,15.833300000000001,vaa_iaa,0.008769992913933572
AGR,10,16.6667,vaa_iaa,-0.011136371567178643
AGR,10,17.5,vaa_iaa,-0.0271735457633977
AGR,10,18.3333,vaa_iaa,-0.0388606249273233
AGR,10,19.1667,vaa_iaa,-0.045791959521476897
AGR,10,20,vaa_iaa,-0.04764709293817099
AGR,10,20.833299999999998,vaa_iaa,-0.04419916515514501
AGR,10,21.666700000000002,vaa_iaa,-0.035321590183562
AGR,10,22.5,vaa_iaa,-0.020992849471940023
AGR,10,23.3333,vaa_iaa,-0.0012992812092690043
AGR,10,24.1667,vaa_iaa,0.023564214076606
AGR,10,25,vaa_iaa,0.05329558895980699
AGR,10,25.8333,vaa_iaa,0.08748917973958498
AGR,10,26.666700000000002,vaa_iaa,0.125641303188286
AGR,10,27.5,vaa_iaa,0.167157828068281
AGR,10,28.333299999999998,vaa_iaa,0.211363589556114
AGR,10,29.1667,vaa_iaa,0.257513476848418
AGR,10,30,vaa_iaa,0.304804989794141
AGR,10,30.8333,vaa_iaa,0.35239203011692655
AGR,10,31.6667,vaa_iaa,0.3993996672858102
AGR,10,32.5,vaa_iaa,0.4449395988837314
AGR,10,33.3333,vaa_iaa,0.4881260108197272
AGR,10,34.1667,vaa_iaa,0.5280915342177128
AGR,10,35,vaa_iaa,0.5640029934510715
AGR,10,35.8333,vaa_iaa,0.5950766436053782
AGR,10,36.666700000000006,vaa_iaa,0.6205926055400518
AGR,10,37.5,vaa_iaa,0.6399082224546621
AGR,10,38.3333,vaa_iaa,0.652470083097174
AGR,10,39.1667,vaa_iaa,0.657824483017344
AGR,10,40,vaa_iaa,0.6556261260042281
AGR,10,40.8333,vaa_iaa,0.645644902398898
AGR,10,41.6667,vaa_iaa,0.6277706186138969
AGR,10,42.5,vaa_iaa,0.6020155921334529
AGR,10,43.3333,vaa_iaa,0.56851506768522
AGR,10,44.166700000000006,vaa_iaa,0.5275254523146871
AGR,10,45,vaa_iaa,0.479420408901263
AGR,10,45.8333,vaa_iaa,0.42468488838759
AGR,10,46.6667,vaa_iaa,0.36390721983864804
AGR,10,47.5,vaa_iaa,0.29776941363977105
AGR,10,48.3333,vaa_iaa,0.22703586598106096
AGR,10,49.1667,vaa_iaa,0.15254068163493306
AGR,10,50,vaa_iaa,0.075173856377802
AGR,10,50.8333,vaa_iaa,-0.004133420200193472
