condition,band,itpc_mean
a50_an,Alpha,0.18613249078077798
a50_an,Beta,0.16673116410005215
a50_an,Delta,0.20096430872744112
a50_an,Theta,0.19963641414698544
a75_an,Alpha,0.2954018415107015
a75_an,Beta,0.26009751446320833
a75_an,Delta,0.29364376072574777
a75_an,Theta,0.29650517248259545
