condition,band,itpc_mean
a50_an,Alpha,0.22415921913907128
a50_an,Beta,0.17131178168214323
a50_an,Delta,0.25809736577766884
a50_an,Theta,0.2554210658763097
a75_an,Alpha,0.2494130623470224
a75_an,Beta,0.19444175221457893
a75_an,Delta,0.35059460859727043
a75_an,Theta,0.3210842696566925
