condition,band,itpc_mean
ia_a,Alpha,0.16664513364541325
ia_a,Beta,0.1911681322090564
ia_a,Delta,0.2249123063789165
ia_a,Theta,0.19596383248002378
va_a,Alpha,0.14603209721953445
va_a,Beta,0.19490688679023205
va_a,Delta,0.22611438577780218
va_a,Theta,0.1558013981333461
