condition,band,itpc_mean
a50_an,Alpha,0.1927597884180503
a50_an,Beta,0.19615250383444283
a50_an,Delta,0.24607763825229356
a50_an,Theta,0.20990639708612757
a75_an,Alpha,0.2743810381704317
a75_an,Beta,0.27116533509867763
a75_an,Delta,0.2642380683698362
a75_an,Theta,0.298841501327951
