condition,band,itpc_mean
is_s,Alpha,0.1770259813381921
is_s,Beta,0.16130295344669726
is_s,Delta,0.21390004613722624
is_s,Theta,0.18201703382444223
vs_s,Alpha,0.17804801537606404
vs_s,Beta,0.15960434871646423
vs_s,Delta,0.2639043202787526
vs_s,Theta,0.20915657127084278
