condition,band,n_subjects,itpc_mean,angle_mean_rad,angle_vector_mean,angle_vector_real,angle_vector_imag
ia_a,Alpha,18,0.160225726207478,1.3040107886778092,0.07721594708597995,0.020356599131678987,0.07448430275015656
ia_a,Beta,18,0.1669587078013698,2.3938031910465414,0.05413175561588869,-0.039689071279934235,0.03681065860582497
ia_a,Delta,18,0.24152919152687385,1.9962802733910305,0.09554291071526061,-0.0394364473263886,0.08702421737779224
ia_a,Theta,18,0.22706416474512808,2.07449500318587,0.06932000599918212,-0.03345855876175439,0.060710691622751875
va_a,Alpha,18,0.15744312720752282,1.11400200663055,0.03444146517070348,0.015191213226777587,0.030910217789646168
va_a,Beta,18,0.16323537796091023,3.326008773692716,0.037648301586354876,-0.037009917624318024,-0.006903666401146967
va_a,Delta,18,0.27004612726088345,5.132973554189035,0.139960986968727,0.05714525238018994,-0.12776344549073715
va_a,Theta,18,0.2207534141935712,5.36512469973154,0.08321861903797514,0.050543826913970594,-0.06611096819347166
