condition,band,itpc_mean
a50_an,Alpha,0.1871779632585582
a50_an,Beta,0.1900237891426709
a50_an,Delta,0.23835406063748146
a50_an,Theta,0.19921161548075098
a50_ay,Alpha,0.8403940452691228
a50_ay,Beta,0.49695511291299743
a50_ay,Delta,0.6846106347086366
a50_ay,Theta,0.8708613177978805
