"region","Time","condition","Value"
"MTGR",-200,"iss_bs",-0.130017407613273
"MTGR",-199.1667,"iss_bs",-0.102226249082707
"MTGR",-198.3333,"iss_bs",-0.0740590239142432
"MTGR",-197.5,"iss_bs",-0.0457094466683042
"MTGR",-196.6667,"iss_bs",-0.0173697198212603
"MTGR",-195.8333,"iss_bs",0.0107725104186252
"MTGR",-195,"iss_bs",0.0385370582370165
"MTGR",-194.1667,"iss_bs",0.0657539016865754
"MTGR",-193.3333,"iss_bs",0.0922656295931076
"MTGR",-192.5,"iss_bs",0.117929581951332
"MTGR",-191.6667,"iss_bs",0.142619640993555
"MTGR",-190.8333,"iss_bs",0.166227638234789
"MTGR",-190,"iss_bs",0.1886643517253
"MTGR",-189.1667,"iss_bs",0.209860077269457
"MTGR",-188.3333,"iss_bs",0.229764767276565
"MTGR",-187.5,"iss_bs",0.24834774096327
"MTGR",-186.6667,"iss_bs",0.265596979591912
"MTGR",-185.8333,"iss_bs",0.281518030069399
"MTGR",-185,"iss_bs",0.296132549318281
"MTGR",-184.1667,"iss_bs",0.309476530148811
"MTGR",-183.3333,"iss_bs",0.321598256708563
"MTGR",-182.5,"iss_bs",0.332556043787305
"MTGR",-181.6667,"iss_bs",0.342415819158401
"MTGR",-180.8333,"iss_bs",0.351248611623157
"MTGR",-180,"iss_bs",0.359128009403995
"MTGR",-179.1667,"iss_bs",0.366127653953735
"MTGR",-178.3333,"iss_bs",0.372318833096685
"MTGR",-177.5,"iss_bs",0.377768234714844
"MTGR",-176.6667,"iss_bs",0.382535917998848
"MTGR",-175.8333,"iss_bs",0.386673553693613
"MTGR",-175,"iss_bs",0.390222977912332
"MTGR",-174.1667,"iss_bs",0.393215096129555
"MTGR",-173.3333,"iss_bs",0.395669165082199
"MTGR",-172.5,"iss_bs",0.397592470716859
"MTGR",-171.6667,"iss_bs",0.398980410251312
"MTGR",-170.8333,"iss_bs",0.39981697610898
"MTGR",-170,"iss_bs",0.400075629185613
"MTGR",-169.1667,"iss_bs",0.399720538867139
"MTGR",-168.3333,"iss_bs",0.398708157681179
"MTGR",-167.5,"iss_bs",0.396989089666246
"MTGR",-166.6667,"iss_bs",0.394510203699724
"MTGR",-165.8333,"iss_bs",0.391216936334739
"MTGR",-165,"iss_bs",0.387055723326274
"MTGR",-164.1667,"iss_bs",0.381976495117918
"MTGR",-163.3333,"iss_bs",0.375935169216839
"MTGR",-162.5,"iss_bs",0.368896071674484
"MTGR",-161.6667,"iss_bs",0.360834220843152
"MTGR",-160.8333,"iss_bs",0.351737409183909
"MTGR",-160,"iss_bs",0.34160802310925
"MTGR",-159.1667,"iss_bs",0.330464546565917
"MTGR",-158.3333,"iss_bs",0.318342701173878
"MTGR",-157.5,"iss_bs",0.305296184077095
"MTGR",-156.6667,"iss_bs",0.291396974040311
"MTGR",-155.8333,"iss_bs",0.276735186527444
"MTGR",-155,"iss_bs",0.261418469283819
"MTGR",-154.1667,"iss_bs",0.24557094106326
"MTGR",-153.3333,"iss_bs",0.22933168732898
"MTGR",-152.5,"iss_bs",0.212852837747783
"MTGR",-151.6667,"iss_bs",0.196297260826234
"MTGR",-150.8333,"iss_bs",0.179835920850247
"MTGR",-150,"iss_bs",0.16364495114611
"MTGR",-149.1667,"iss_bs",0.147902505361953
"MTGR",-148.3333,"iss_bs",0.132785454781097
"MTGR",-147.5,"iss_bs",0.11846600446051
"MTGR",-146.6667,"iss_bs",0.105108304111089
"MTGR",-145.8333,"iss_bs",0.0928651310127054
"MTGR",-145,"iss_bs",0.0818747218368823
"MTGR",-144.1667,"iss_bs",0.0722578280266339
"MTGR",-143.3333,"iss_bs",0.0641150653917282
"MTGR",-142.5,"iss_bs",0.0575246228952688
"MTGR",-141.6667,"iss_bs",0.0525403883512641
"MTGR",-140.8333,"iss_bs",0.0491905400774232
"MTGR",-140,"iss_bs",0.047476643641842
"MTGR",-139.1667,"iss_bs",0.0473732819255957
"MTGR",-138.3333,"iss_bs",0.0488282350396395
"MTGR",-137.5,"iss_bs",0.0517632144475405
"MTGR",-136.6667,"iss_bs",0.0560751432326346
"MTGR",-135.8333,"iss_bs",0.0616379620935133
"MTGR",-135,"iss_bs",0.068304928640113
"MTGR",-134.1667,"iss_bs",0.0759113661729629
"MTGR",-133.3333,"iss_bs",0.0842778076263745
"MTGR",-132.5,"iss_bs",0.0932134709900288
"MTGR",-131.6667,"iss_bs",0.102519994515035
"MTGR",-130.8333,"iss_bs",0.111995353552939
"MTGR",-130,"iss_bs",0.121437876127442
"MTGR",-129.1667,"iss_bs",0.130650271418549
"MTGR",-128.3333,"iss_bs",0.139443584325953
"MTGR",-127.5,"iss_bs",0.147640990207904
"MTGR",-126.6667,"iss_bs",0.155081346754317
"MTGR",-125.8333,"iss_bs",0.161622424695216
