subject,va_ba,ia_bi,vs_bs,is_bs
2,35.37085137085152,123.6581778374881,-42.82006505735312,-17.734732311003455
3,23.436456575439816,81.30592531663007,-156.45768548853843,-122.36798055745427
4,10.029437229437214,11.162507754187295,-105.3820004556846,-50.60894660894658
5,58.94254897644733,92.90762734890583,-91.47795901740923,-71.27577958764353
6,61.86539284470338,46.42059931410592,20.603751803751948,-4.1921253349825065
7,41.332257196663576,110.72286777549918,-232.42251082251073,-113.57350747181239
8,44.68917748917742,59.99701447977325,-17.646919558784248,6.346154034289583
9,-59.569290972681046,-104.84227721963572,-181.28253968253978,-188.9662337662337
10,-14.572847115220037,-11.673304473304285,-5.517176608702101,14.981101656963205
11,-19.616993176315262,-61.19354737272394,-213.05141926065392,-152.80341867367022
12,20.880014255316652,-17.09296353364161,-171.73835319751828,-199.57773220931116
13,-45.52269425489801,-110.14630567172942,-110.90116932875566,-59.356881160270916
14,-3.943434343434248,-60.758441558441454,-30.07643784786663,-20.438700872198353
15,19.849282167926305,6.133134298651335,-232.28899161102527,-161.16222760290515
16,-5.934326313987455,12.637269244165239,-78.17354171252447,-72.00883713987159
17,25.96750843156465,0.5888784622056882,-105.37342431579705,-120.72891628145845
18,-12.539184952977891,0.7477388901113926,-72.07219898745367,-68.40002934918246
19,141.19934318554994,-73.64815501958353,-38.151275466529746,-54.17341891824649
20,10.310451453308652,38.45252896334155,-426.50700711717644,-363.07009949115195
