subject,a75_an_ba,a75_ay_ba,a50_ay_ba,a50_an_ba
2,34.63203463203472,16.29907043860565,14.25916305916298,48.42943722943738
3,17.106380302506043,23.393072569264742,54.928520067503186,33.706009244992174
4,23.117048031333244,49.35463728191026,23.845310245309804,0.8324426531321691
5,36.373575953237335,44.13286988927503,63.587098938188646,57.688438868099766
6,40.92917350848407,24.68751886682928,21.756879136189696,18.02585460516506
7,25.791097791097652,22.075228475228183,3.1606707468771553,-1.3945165945168334
8,52.08658008658028,55.312746512746436,33.81933621933595,40.106284520077494
9,165.3502720040246,171.63109382770378,128.95763344389866,67.37789517450517
10,-2.48031333745622,-3.4212252394072387,-20.457580733442605,-20.782405334129518
11,86.35703279771042,53.15953400021209,13.481678267183668,9.778677819355451
12,17.07260358688916,-38.16082035351121,37.52508903247812,12.239950525665066
13,63.24960011739634,84.29041356751193,78.08134614914246,70.02824369603971
14,33.2929292929294,29.048091302636927,29.691197691197857,24.796536796537005
15,-45.372582972582656,-51.2338624338625,-50.73027815096765,-73.70620490620477
16,-14.085013399299411,-23.55594035594034,5.724510410224591,-0.6471015574466392
17,-1.8113748320643275,-35.46447728516688,1.0126884609640356,-20.94163307956349
18,-69.82518783898044,-68.66770828150135,-113.78478379857631,-134.711767925561
19,13.726159554730913,8.016161616161867,-14.924098124098293,-8.699567099567076
20,-20.423005565862585,-21.807407407407577,-0.12929292929271696,-10.604567845947251
