subject,label,condition,trial,band,angle_rad
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,5,Theta,1.7481547838807847
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,6,Theta,3.869445510222075
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,7,Theta,3.277931695207853
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,8,Theta,2.1973541878677936
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,9,Theta,3.786687209685006
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,10,Theta,4.174107632866688
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,11,Theta,5.829161877275469
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,12,Theta,3.982038029733461
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,13,Theta,0.4552945226873583
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,14,Theta,3.994749537846099
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,15,Theta,5.220576915377347
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,16,Theta,0.9651845274590182
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,17,Theta,3.4565111826029558
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,18,Theta,5.165836970824296
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,19,Theta,5.377933526490715
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,20,Theta,5.716635894744516
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,21,Theta,3.3856289209143315
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,22,Theta,2.176073524041567
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,23,Theta,5.304694100109264
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,24,Theta,5.691103302551894
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,25,Theta,3.8089455763444975
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,26,Theta,3.2883494754822666
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,27,Theta,1.8979457356937495
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,28,Theta,2.833838919149609
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,29,Theta,2.757828962138033
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,30,Theta,3.6108963656799706
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,31,Theta,4.262173792474686
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,32,Theta,3.8640611088412373
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,33,Theta,1.167382644826482
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,34,Theta,2.313769865709136
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,35,Theta,1.6865796719058364
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,36,Theta,4.883108523687454
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,37,Theta,4.8818423347521325
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,38,Theta,3.612251806897071
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,39,Theta,3.6019624654912925
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,40,Theta,1.419227277620831
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,41,Theta,1.5833563195671276
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,42,Theta,4.197732063665473
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,43,Theta,4.412645894707344
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,44,Theta,4.91691160823018
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,45,Theta,1.8238806548193645
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,46,Theta,4.0391087230822365
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,47,Theta,0.9289365738522257
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,48,Theta,3.173028965367035
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,49,Theta,3.2719740853074137
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,50,Theta,3.2994314419287063
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,51,Theta,5.180425832750563
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,52,Theta,5.228482242260398
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,53,Theta,3.85464866860797
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,54,Theta,5.974178219156382
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,55,Theta,1.6161940492309312
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,56,Theta,0.9091239467013075
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,57,Theta,3.36823599214054
