subject,label,condition,trial,band,angle_rad
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,5,Theta,0.11485039939995849
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,6,Theta,5.73393885778071
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,7,Theta,4.718879369653852
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,8,Theta,1.7748391016334
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,9,Theta,0.8113001243417213
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,10,Theta,0.4372993955343302
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,11,Theta,0.9581162423022396
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,12,Theta,2.4644655315147355
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,13,Theta,4.8902531791308945
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,14,Theta,5.283266515332956
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,15,Theta,3.5058685002276473
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,16,Theta,4.329175422563266
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,17,Theta,0.08171847782314971
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,18,Theta,1.4076771898323106
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,19,Theta,2.552603648035028
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,20,Theta,4.990024608155504
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,21,Theta,3.901749360325277
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,22,Theta,3.340514065484367
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,23,Theta,2.775564447904645
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,24,Theta,4.597846377200015
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,25,Theta,5.277250930549789
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,26,Theta,2.735181056842059
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,27,Theta,5.319378864477926
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,28,Theta,4.707241190802389
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,29,Theta,5.855291368119294
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,30,Theta,1.603505751576419
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,31,Theta,3.1605728553143653
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,32,Theta,1.50142669506133
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,33,Theta,1.03211067060063
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,34,Theta,4.518359667893999
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,35,Theta,4.315236172882955
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,36,Theta,5.742880029982531
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,37,Theta,4.347767156558926
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,38,Theta,2.4340447343251643
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,39,Theta,2.6159730098959697
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,40,Theta,1.2265413368136444
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,41,Theta,4.789509055877272
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,42,Theta,3.1007833597124423
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,43,Theta,4.412475280604003
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,44,Theta,3.158245006041829
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,45,Theta,3.477555987904888
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,46,Theta,5.760076625721544
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,47,Theta,1.3340932841420792
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,48,Theta,5.856141104531905
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,49,Theta,2.8866032790578773
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,50,Theta,4.016456142361075
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,51,Theta,1.9362434462367173
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,52,Theta,1.683088911326865
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,53,Theta,2.7528021451082254
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,54,Theta,2.6991607951322933
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,55,Theta,2.540540167664437
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,56,Theta,6.083317352593863
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,57,Theta,5.348198664422176
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,58,Theta,4.360248432341437
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,1,Alpha,1.0240964370280432
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,2,Alpha,0.7434647337491208
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,3,Alpha,4.193130056895752
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,4,Alpha,1.1336844546889724
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,5,Alpha,1.6411121581397667
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,6,Alpha,1.070920320984348
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,7,Alpha,5.143995722500679
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,8,Alpha,2.511786790973528
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,9,Alpha,1.0146361189193351
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,10,Alpha,1.905895530876244
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,11,Alpha,1.6086353344870572
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,12,Alpha,0.5075174462638233
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,13,Alpha,5.047651234133949
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,14,Alpha,1.6842696519785074
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,15,Alpha,0.3984386548022582
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,16,Alpha,1.43071915524283
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,17,Alpha,0.30999649229490744
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,18,Alpha,2.662312428563535
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,19,Alpha,1.6726006693948239
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,20,Alpha,4.564485796465035
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,21,Alpha,2.217935274608213
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,22,Alpha,3.8058195261798966
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,23,Alpha,4.145900785113149
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,24,Alpha,4.541316854830141
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,25,Alpha,4.091317701282691
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,26,Alpha,3.1507267543231343
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,27,Alpha,4.937216698233675
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,28,Alpha,4.489541125835913
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,29,Alpha,5.43597593688191
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,30,Alpha,3.4659460835184928
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,31,Alpha,3.5940356742035164
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,32,Alpha,5.280671402899863
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,33,Alpha,4.6694450513121994
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,34,Alpha,4.941031585634308
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,35,Alpha,4.566315249852576
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,36,Alpha,0.2940049742091735
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,37,Alpha,4.452884827747681
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,38,Alpha,2.419141664363049
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,39,Alpha,5.760968135555517
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,40,Alpha,0.35862194534012004
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,41,Alpha,3.6890601464488455
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,42,Alpha,0.7273677553049154
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,43,Alpha,5.1319166250300405
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,44,Alpha,3.167431926199434
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,45,Alpha,2.7460968724072026
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,46,Alpha,0.8495256447495999
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,47,Alpha,0.44284767636448136
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,48,Alpha,1.6664939948455413
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,49,Alpha,2.166264454637196
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,50,Alpha,3.9106472825906957
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,51,Alpha,5.848721309226812
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,52,Alpha,4.598734821842719
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,53,Alpha,5.787514069718113
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,54,Alpha,2.0087389848757944
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,55,Alpha,2.4378638877291903
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,56,Alpha,5.808486398236406
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,57,Alpha,0.6358688695425461
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,58,Alpha,3.6433912546978098
