"region","lower","upper","Value"
"PreSMAL",100,110,0.126048703419679
"PreSMAL",110,120,0.138203732165225
"PreSMAL",120,130,0.0643035138264812
"PreSMAL",130,140,0.161871315941124
"PreSMAL",140,150,0.278952086862307
"PreSMAL",150,160,0.282391556233305
"PreSMAL",160,170,0.278874346784681
"PreSMAL",170,180,0.23997779319138
"PreSMAL",180,190,0.120009954114102
"PreSMAL",190,200,0.131635096309059
"PreSMAL",200,210,0.294965526841969
"PreSMAL",210,220,0.276724627537559
"PreSMAL",220,230,0.0805227299516772
"PreSMAL",230,240,0.0778101807063807
"PreSMAL",240,250,0.226282131705653
"PreSMAL",250,260,0.198775754032018
"PreSMAL",260,270,0.119214912510313
"PreSMAL",270,280,0.251889705989878
"PreSMAL",280,290,0.390092503456096
"PreSMAL",290,300,0.310043499347121
"PreSMAL",300,310,0.202738420757306
"PreSMAL",310,320,0.163430873139682
"PreSMAL",320,330,0.0249735998345929
"PreSMAL",330,340,-0.0891908206437454
"PreSMAL",340,350,0.11686775591302
"PreSMAL",350,360,0.45811592563238
"PreSMAL",360,370,0.516350773829167
"PreSMAL",370,380,0.339838165543039
"PreSMAL",380,390,0.247979842831465
"PreSMAL",390,400,0.282696846648591
"PreSMAL",400,410,0.352912824732831
"PreSMAL",410,420,0.510426553801022
"PreSMAL",420,430,0.721910778946837
"PreSMAL",430,440,0.768760466573548
"PreSMAL",440,450,0.604508908763575
"PreSMAL",450,460,0.464817216445558
"PreSMAL",460,470,0.488678611949417
"PreSMAL",470,480,0.52831736391673
"PreSMAL",480,490,0.453268689597326
"PreSMAL",490,500,0.391114574419155
"PreSMAR",100,110,0.568837169551389
"PreSMAR",110,120,0.91950867985623
"PreSMAR",120,130,1.10179844538176
"PreSMAR",130,140,1.13884205574689
"PreSMAR",140,150,1.40270891823074
"PreSMAR",150,160,1.476201806824
"PreSMAR",160,170,1.04370856811849
"PreSMAR",170,180,0.837277120649815
"PreSMAR",180,190,1.18963449228313
"PreSMAR",190,200,1.41718389434576
"PreSMAR",200,210,1.38532094071166
"PreSMAR",210,220,1.61428233334861
"PreSMAR",220,230,1.95866715184885
"PreSMAR",230,240,2.04851099952548
"PreSMAR",240,250,2.1397451416151
"PreSMAR",250,260,2.30920267267847
"PreSMAR",260,270,2.22186469429599
"PreSMAR",270,280,2.06337862115645
"PreSMAR",280,290,2.17754107468381
"PreSMAR",290,300,2.23433320839213
"PreSMAR",300,310,1.98462344021061
"PreSMAR",310,320,1.78755578867219
"PreSMAR",320,330,1.73926003257471
"PreSMAR",330,340,1.57372132475446
"PreSMAR",340,350,1.41077416061359
"PreSMAR",350,360,1.43089905846585
"PreSMAR",360,370,1.39826956598627
"PreSMAR",370,380,1.29003172458375
"PreSMAR",380,390,1.45146191454641
"PreSMAR",390,400,1.79640207808289
"PreSMAR",400,410,1.85642032567542
"PreSMAR",410,420,1.5872619700187
"PreSMAR",420,430,1.35728083543208
"PreSMAR",430,440,1.40708783724561
"PreSMAR",440,450,1.72762450730606
"PreSMAR",450,460,2.11837853293223
"PreSMAR",460,470,2.27926914213316
"PreSMAR",470,480,2.14267476815223
"PreSMAR",480,490,1.98246412720229
"PreSMAR",490,500,1.98603609700646
"SMAR",100,110,-0.0331630004564713
"SMAR",110,120,-0.0525999203705453
"SMAR",120,130,-0.0286496728336712
"SMAR",130,140,0.0528596046127196
"SMAR",140,150,0.119268345782006
"SMAR",150,160,0.163474943313676
"SMAR",160,170,0.142764188832167
"SMAR",170,180,0.0557179034205343
"SMAR",180,190,0.0688748409550682
"SMAR",190,200,0.216463890681198
"SMAR",200,210,0.292134223092149
"SMAR",210,220,0.269418983108722
"SMAR",220,230,0.324516896768706
"SMAR",230,240,0.432060126425516
"SMAR",240,250,0.482422711826303
"SMAR",250,260,0.549628657224715
"SMAR",260,270,0.623398414533227
"SMAR",270,280,0.548942056558651
"SMAR",280,290,0.412868677229458
"SMAR",290,300,0.419278055699431
"SMAR",300,310,0.493906359929308
"SMAR",310,320,0.512768268344942
"SMAR",320,330,0.546762366824125
"SMAR",330,340,0.575164182320823
"SMAR",340,350,0.476789264136362
"SMAR",350,360,0.341667519544643
"SMAR",360,370,0.306922744468914
"SMAR",370,380,0.31342738246964
"SMAR",380,390,0.310918663980308
"SMAR",390,400,0.304864152474157
"SMAR",400,410,0.224419471551211
"SMAR",410,420,0.149957594920264
"SMAR",420,430,0.297581943282366
"SMAR",430,440,0.526713735541365
"SMAR",440,450,0.523530272870666
"SMAR",450,460,0.447808137254777
"SMAR",460,470,0.594759200075081
"SMAR",470,480,0.761135348766326
"SMAR",480,490,0.707475213872772
"SMAR",490,500,0.63251281144198
