subject,label,condition,trial,meanAmplitude,Alpha_bandPower,Beta_bandPower,Delta_bandPower,Theta_bandPower,Alpha_bandITPC,Beta_bandITPC,Delta_bandITPC,Theta_bandITPC
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,1,40.48029946073893,27085.78273139971,5394.208430008843,95964.67091257244,78149.10966372334,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,2,-28.099351322527056,6767.479799841643,3191.937257685719,22179.717170115975,20844.709866470384,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,3,-17.572097972109546,12984.01434085759,6402.928837120918,87028.91715172782,37255.504793965185,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,4,34.21088667715525,8492.07434542635,5470.483817100618,166050.4126739344,68418.47396195555,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,5,30.032164547238068,34135.86806054964,4333.52878031575,168204.46510432387,38100.86802046177,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,6,4.5989657047817225,41301.90064730071,4326.302231440552,69148.6187586094,18784.169143559215,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,7,-2.9512976693663893,10596.521183997109,1653.499302721644,15248.743647272904,8024.290716058448,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,8,0.9837079859893415,25479.629096704128,4349.944926999201,85082.85870665198,37862.3659261866,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,9,3.6778720065629815,4399.400215447478,2062.706734973362,96235.64878655635,46954.77034686034,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,10,23.347025054285037,6112.598173600636,1219.56011429363,253606.6441314931,114688.98615142352,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,11,-14.018571595921907,5755.60083180645,4590.421791734702,4786.334539858503,20686.85250302672,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,12,14.528015779763246,13705.94302255851,5102.127471169222,24744.730965175786,13916.851477579246,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,13,30.001744580620116,11782.985002768137,2108.6948202806075,10524.50647253326,30577.689320737998,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,14,13.430323261999632,20667.90422007784,4028.665762155152,164715.3998033247,49029.946051044906,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,15,-32.08313791611235,337.7622993066968,4178.6295520308195,72990.47077761946,20841.01110134543,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,16,-3.7788560180639803,4757.288252474633,3535.2496864972154,45239.29912349185,12619.181245181573,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,17,27.33973697274294,37021.86867262461,2410.6536280268433,99058.95760338374,61443.0063398975,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,18,21.148882600129408,2105.6648930076826,4091.74159775346,67177.76741261382,46345.31660300075,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,19,-0.2673837830447205,31768.495006751822,17195.87222002813,10608.586869611328,6544.304599058065,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,20,-11.085437563115766,40945.41421085669,2549.60143836305,9803.633769687785,25826.242832129596,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,21,-10.235093782642021,7772.252217362319,3699.7607903263347,4524.19489713048,3244.532621510646,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,22,-8.454585914857093,40601.75099071576,14793.505238919837,106059.11268416603,70876.48115089207,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,23,-19.167419378878307,9175.671103535917,14195.083100614276,67567.86461367749,12640.137310805128,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,24,-6.2784668885891035,37865.129173663765,2320.1482413225713,18313.159915125696,29573.46303467307,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,25,19.362914699016294,5210.4879850648285,2998.1634417644477,42253.04067810664,10221.135712769643,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,26,-15.789713964724635,38468.22669455415,1842.0249325632044,231423.69888767198,109628.88902699253,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,27,22.938949108971123,43478.82763100477,3424.235329671827,67607.7694364818,57760.45405055344,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,28,19.776989925917256,35420.80685943916,2435.443607584789,31295.963602707237,41526.779010250255,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,29,9.411766856013056,29273.6764977165,4841.842216232253,43336.223219747146,30523.622562084096,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,30,33.133875857252775,50155.33971186485,6137.224391020855,68360.84364236843,36029.53456197672,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,31,4.476072064993311,40759.73235322361,10604.18304397837,285143.7374600687,96189.36969767776,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,32,1.6353285891838716,12802.897769219888,3654.4849533627457,5882.438587943483,1202.0857034063633,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,33,-6.579811589751267,36570.28542446736,4342.771637645062,351313.96654015663,34589.471679130475,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,34,-32.019011680637085,296408.4287645057,134152.3074796528,262850.0589494039,144763.39463049662,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,35,-18.939367777378415,34970.038240468326,8517.500080627307,118855.75537306396,30225.145717390427,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,36,71.23686742668863,8098.693638342806,4050.851083780659,300849.7299806427,189466.7634056493,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,37,-14.782803400444816,11618.125728474086,3882.2961397483505,18565.784856098733,10726.66924274269,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,38,16.089319765120486,42347.98923435787,3135.3741690974243,15165.719870539107,39592.66456845006,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,39,-6.291831799765318,3788.9302642156517,5548.911913283318,1818.5722029077665,2003.9256683204108,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,40,-0.15383381184022898,8112.138300817773,2287.9678072240695,19280.5196154103,4351.151230743308,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,41,48.22612753798065,85639.815664648,17220.737852917908,414340.9863965507,257366.1627419051,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,42,-25.940277244708412,15421.038625731322,5592.485395217242,332825.8034752806,49428.47556709141,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,43,27.7021101920649,15821.241648493618,12429.900323994969,829465.5680701892,70635.3481813056,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,44,3.418249642663698,3372.6594071909926,1656.256049321026,58090.50049609843,7122.000874717614,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,45,16.41990830454232,83713.378592077,63826.42113938727,2064132.820856176,543754.5886447541,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,46,-24.490759154986566,30189.41622724215,6708.475671000468,123765.29430549941,9596.328413354524,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,47,-39.74837917736962,19610.313304644962,8779.630143369382,24298.41410495898,56467.22970640634,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,48,29.613327782344488,86488.19536979638,9699.582549191942,306959.9537555541,32370.039911710213,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,49,4.935954658448226,8379.730868962546,7039.0285166559015,265892.9359038265,23862.314665997743,0.05053033131802084,0.13000371690462245,0.10080577394731395,0.08466587161266642
