subject,label,condition,trial,meanAmplitude,Alpha_bandPower,Beta_bandPower,Delta_bandPower,Gamma_bandPower,Theta_bandPower,Alpha_bandITPC,Beta_bandITPC,Delta_bandITPC,Gamma_bandITPC,Theta_bandITPC
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,1,8.443424366581398,2120.6223085879756,924.9530965845912,15070.154344876675,313.80795135756034,4877.708022567083,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,2,-26.701757024955032,4227.038553188904,1251.2012297470037,30248.13158668744,312.3492759921264,18044.162767017126,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,3,18.95621059733018,5927.444263901394,1162.9867597503828,34553.219563532824,216.12860701151183,15130.028275002065,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,4,7.364652724667943,2059.066531830853,1506.7843560999158,15344.961600122679,137.59681869763637,5975.527361247421,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,5,13.067639438704182,6454.6285549965705,628.1563470418247,29164.33432768928,86.10531321633121,19629.292339500647,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,6,-37.04432027818475,1556.998857723768,1308.0162812331516,47524.77280381873,240.22330227887227,11965.084974922707,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,7,3.635957631009147,5175.206616991719,1876.7012357005647,14986.392899264041,282.17441672296115,18357.150904012284,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,8,-25.782384743052322,8045.745795422428,887.1576268759708,43934.25731691255,314.4150640274765,14268.397070575034,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,9,-41.66261318804155,1505.8362091011468,784.8890162911928,25609.83039558116,136.63011677478028,7902.152643269576,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,10,23.3512004306401,4044.7883562669567,2411.8870714542873,69608.82163957699,408.93792644082123,16829.12296914525,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,11,16.144458051567046,4933.9891890321605,940.4019322691104,33198.86948672004,225.79233065979918,14567.326559028153,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,12,-0.14900572564623146,2700.0028396876173,657.5853393494607,16090.340129539343,173.2295732884382,16366.209833681098,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,13,-14.178724741238911,3617.5493232820254,1529.086028841525,17871.67429415787,132.4292573959653,28371.101927012034,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,14,-15.391757433872748,2603.655241277278,933.5780254328413,3614.502077445378,284.5992789805441,2987.8410281437195,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,15,34.88041504828339,7441.719465692738,1052.6039433562082,23722.229907251993,221.36823772049723,10695.128124153134,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
