region,time_window,lower,upper,coef
STG-R,10,590,600,-0.22240662139024917
STG-R,10,600,610,-0.16821551681392563
STG-R,10,610,620,-0.09952033908253184
STG-R,10,620,630,-0.0019401189086546275
STG-R,20,580,600,-0.13746403093804363
STG-R,20,600,620,-0.09112202938564146
STG-R,20,620,640,-0.003926283440339117
STG-R,40,600,640,-6.201676596351239e-4
STG-R,40,640,680,-0.003256942301864481
STG-R,40,680,720,-0.015223038247248875
