ROI,term,estimate_vs_s,estimate_is_s,std_error_vs_s,std_error_is_s,df_vs_s,df_is_s,t_value_vs_s,t_value_is_s,p_value_vs_s,p_value_is_s,conf_low_vs_s,conf_low_is_s,conf_high_vs_s,conf_high_is_s,signif_vs_s,signif_is_s
PostcentralL,(Intercept),-133.49836124373928,-85.58146977091172,22.250632424758365,23.281739911464694,18.94734332444183,19.03281405171015,-5.999755813466009,-3.6759052414621554,9.08910854084301e-6,0.0016017873319893372,-180.07823160055284,-134.3050258227627,-86.91849088692572,-36.85791371906074,***,**
PostcentralL,meanAmplitude,-4.55242525026269,-1.7050192631533296,3.847986271829522,3.9697264630861637,1107.8536361535798,1109.342732604172,-1.1830669156982836,-0.42950547827615443,0.2370364447549624,0.6676388132701099,-12.102588389654567,-9.494038323118508,2.997737889129188,6.083999796811848,,
PostcentralL,Alpha_bandPower,7.754508580330278,2.3868856257951765,3.5500507611058283,6.101256825034117,1113.8283121775148,1101.426656868436,2.1843373805491093,0.3912121214110389,0.02914542037650985,0.6957161141336223,0.7889678374278146,-9.58451320800058,14.72004932323274,14.358284459590934,*,
PostcentralL,Beta_bandPower,-0.5711077400665884,-3.9438934694037644,3.944925107148131,4.392705732754553,1104.2572522768166,1104.241664533447,-0.14477023633015282,-0.8978278330815139,0.8849187003562735,0.3694730555983944,-8.311502876649481,-12.562885641217376,7.169287396516305,4.675098702409846,,
PostcentralL,Delta_bandPower,-0.3715397632823927,-0.3184569250578771,3.744542382632151,5.108644991373386,1104.2369851107046,1098.136530463608,-0.0992216739235373,-0.06233686732893618,0.9209802755548591,0.9503059134977664,-7.718761179082442,-10.34226513665516,6.9756816525176575,9.705351286539406,,
PostcentralL,Theta_bandPower,1.2281078016799072,-4.030754925567832,4.342860210532154,4.884540418579879,1101.4883216071928,1098.8797139652763,0.28278778089645684,-0.8252065865266656,0.777392653422758,0.4094334149896539,-7.293105113754822,-13.614834442552233,9.749320717114637,5.553324591416569,,
PostcentralL,Alpha_bandITPC,16.069929222503404,-10.271196719463497,25.76738059189144,20.297944081991908,18.962590660046356,18.994249669977737,0.6236539707711051,-0.5060215299625335,0.5402850373082395,0.6186640885749928,-37.869020284179776,-52.756152467744776,70.00887872918659,32.21375902881778,,
PostcentralL,Beta_bandITPC,35.73787112110786,14.78024277784097,20.364433423441167,30.865540537752086,18.972374845449327,18.989998501451186,1.7549160528065848,0.47885902920647194,0.09540957762817233,0.6375064423002461,-6.889578844244511,-49.82437895192167,78.36532108646023,79.38486450760361,.,
PostcentralL,Delta_bandITPC,-23.090881317980124,-25.18733324900735,25.836637734418716,29.205174502809953,18.983129809330492,19.00706519820124,-0.8937262485675221,-0.8624270759479272,0.38265948466455457,0.3992035824967928,-77.17083844017391,-86.31292815593001,30.989075804213666,35.938261657915305,,
PostcentralL,Theta_bandITPC,-14.807094708168211,31.15535244197021,26.071725247009716,25.583980783149507,18.97516141311873,19.030188533686935,-0.5679368959239283,1.2177679738756761,0.5767371445879215,0.2381967550323937,-69.38067782775391,-22.386785964083067,39.766488411417484,84.69749084802348,,
MTGR,(Intercept),-126.54010935065438,-94.9173283101704,18.30394462844055,17.19730178346963,18.990923117884606,18.928442647160516,-6.913269894514277,-5.51931515218316,1.3676448820615541e-6,2.5602323239607562e-5,-164.85194511869912,-130.9209066720864,-88.22827358260962,-58.91374994825441,***,***
MTGR,meanAmplitude,0.4876024388294328,3.4194589116641874,3.4497571455654006,4.632804990529386,1109.1771288560008,1107.801658004598,0.14134398980990207,0.7380968805409289,0.8876238656521764,0.4606119025229385,-6.2811834688857315,-5.670603473044058,7.256388346544598,12.509521296372434,,
MTGR,Alpha_bandPower,7.216181634359752,0.21371233377246276,4.169180366702899,4.67729921254694,1103.533807982676,1101.6702475758113,1.7308393975927945,0.04569139669302651,0.08375993998482938,0.9635645017711699,-0.9642339048144288,-8.963708372212727,15.396597173533934,9.391133039757653,.,
MTGR,Beta_bandPower,-4.96866208837883,1.2789434868654772,3.9961906498380153,4.5916942255150515,1105.7487357472605,1104.6944788194737,-1.2433496106048478,0.27853411487173185,0.21400258081371815,0.7806545084206625,-12.809634489794002,-7.730482865101452,2.8723103130363423,10.288369838832407,,
MTGR,Delta_bandPower,-7.894131315576218,3.50742129498352,9.239269805686785,4.354952433804673,1101.102623637234,1101.2708987750727,-0.8544107360862401,0.8053868207050167,0.3930632985402527,0.4207703478695858,-26.02269445521208,-5.0375198694284125,10.234431824059644,12.052362459395454,,
MTGR,Theta_bandPower,-3.4727637588767704,-8.50457216943602,4.508057681421071,5.671705897459693,1101.842827198321,1100.5258994645808,-0.7703459015595502,-1.4994734076823595,0.4412598690898334,0.13403765884582025,-12.318110806867757,-19.633150501467078,5.372583289114218,2.6240061625950357,,
MTGR,Alpha_bandITPC,1.4083131356996468,-31.39537840166907,21.711878875046327,17.4929996667317,18.982353313482886,18.989714807645438,0.06486371556347593,-1.7947395529525452,0.9489607427386773,0.08863055170279226,-44.03803110713993,-68.00998971419958,46.85465737853923,5.219232910861436,,.
