ROI,term,estimate_a75_an,estimate_a50_an,std_error_a75_an,std_error_a50_an,df_a75_an,df_a50_an,t_value_a75_an,t_value_a50_an,p_value_a75_an,p_value_a50_an,signif_a75_an,signif_a50_an
PrecuneusR,(Intercept),-3.005034342061984,4.079640665091298,15.792256011474654,10.523720743215925,21.27151988648271,18.86658703562899,-0.1902853107167542,0.3876614331220469,0.8508898279897725,0.7026055017833781,,
PrecuneusR,meanAmplitude,9.056609897044082,-6.015511991757702,9.87940422796072,5.873121201742631,52.87432306787675,272.5575991000976,0.9167161994862035,-1.0242444834907922,0.36345384078551,0.3066279981930871,,
PrecuneusR,Alpha_bandPower,-7.1439897339982394,-8.772456008333432,16.92949563425445,7.388814356145674,58.47356343047471,265.07592896501166,-0.42198479436938346,-1.1872616614107931,0.674583602929141,0.23618727005049772,,
PrecuneusR,Beta_bandPower,13.953212229628567,-4.55195822281993,10.022288852413967,7.257811571400208,61.40754059490614,266.5349271016174,1.3922181285233861,-0.6271805458214378,0.1688778697162198,0.5310777745734845,,
PrecuneusR,Delta_bandPower,-4.54852903533172,-1.1800547526603173,10.093238309081512,7.258243715241039,61.616954991104784,268.00364305288724,-0.45065110879618553,-0.1625813074011843,0.6538228431174313,0.8709706218381468,,
PrecuneusR,Theta_bandPower,7.047613378206678,16.41826653330151,10.99267996058551,8.195442463265266,56.80430167860953,262.77628549638655,0.6411187629837352,2.0033410772992073,0.5240238757340117,0.04616745921893569,,*
PrecuneusR,Alpha_bandITPC,-8.037131803877894,1.5317387655090813,12.012951661440932,12.168754413958517,18.645914610865727,19.00152090694824,-0.6690388865606952,0.12587473733154286,0.5116700838594055,0.9011533965407499,,
PrecuneusR,Beta_bandITPC,11.20147432620906,0.5695143542795705,11.531594865722795,13.256745298625074,22.891212399807145,19.28341475916187,0.9713725166936792,0.04296034520167162,0.341515737872523,0.9661748733767174,,
PrecuneusR,Delta_bandITPC,5.86928020314283,-27.739325969059582,15.310933886923259,13.141879592480635,18.27649253451792,19.306396862256666,0.38333913832360395,-2.1107578846583817,0.7058908195805922,0.04805389513598589,,*
PrecuneusR,Theta_bandITPC,3.9201434694325634,6.508236481403146,19.59212314136272,14.269190785074853,20.54830950811264,19.887390303859394,0.20008773123502835,0.4561041042502961,0.843378935867954,0.6532566886141637,,
AGR,(Intercept),2.49494682220725,5.623925123532577,18.721581881970057,11.40558999021825,64.99999999832706,19.96978461383159,0.13326581257591405,0.4930849809922863,0.894394893658158,0.6273309917638497,,
AGR,meanAmplitude,2.902792383031823,-6.757693164152921,11.149050960705916,5.891852986485955,64.99999999852955,272.5263470730453,0.26036228493909663,-1.146955495945491,0.7954073613424815,0.25240597067095777,,
AGR,Alpha_bandPower,-14.811281684196576,2.370836178074612,17.27050234978498,8.392785849277733,64.99999999810812,272.3073302173116,-0.8576057247333618,0.28248500803563836,0.39426137053177923,0.7777862347351301,,
AGR,Beta_bandPower,0.4747433349775671,-0.9584775471401312,26.738692123024006,6.284021559572684,64.99999999827835,273.14788379689276,0.01775491982903598,-0.15252613920142374,0.9858887556732434,0.8788845810234022,,
AGR,Delta_bandPower,-8.84572093347044,-2.4836379472707972,8.324252916351499,10.268394801932194,64.9999999989609,267.21035955624535,-1.0626444225516756,-0.24187207398798627,0.2918753717925905,0.8090648081139679,,
AGR,Theta_bandPower,15.641983078727877,-1.3082869441908653,12.33429637432734,12.61800258525146,64.99999999799151,266.7055830738194,1.2681698739852862,-0.10368415566185216,0.20926084682924875,0.9174979234976615,,
AGR,Alpha_bandITPC,14.61200382554326,-2.7091992848520676,9.975877785388386,12.528578928572824,64.9999999990386,20.85280275312681,1.4647336444864414,-0.21624154665086845,0.14781384138199985,0.8309008161122156,,
AGR,Beta_bandITPC,6.030433612918747,-2.149973797433833,11.934675667734856,13.023451884458387,64.99999999853739,20.22730000201253,0.5052867610991639,-0.16508478831173146,0.6150665249405947,0.8705159615039798,,
AGR,Delta_bandITPC,-20.68651573412615,13.286856202313976,9.138012279581957,15.1518281576144,64.99999999823432,21.194204916342443,-2.2637872549534928,0.876914393702175,0.0269317472022567,0.3903648956319026,*,
AGR,Theta_bandITPC,-3.3800329241300893,-2.907278572282954,11.6576304791593,14.831226951091326,64.9999999988121,20.64414318823607,-0.2899416764129449,-0.19602414431862145,0.7727837939282759,0.8465079924610666,,
DLPFCR,(Intercept),1.1031904837249489,2.2534515451616595,15.630611698907249,11.670274163076472,64.99999999884032,19.038246763311342,0.0705788426566872,0.19309328244329893,0.94394965147106,0.8489309627873419,,
DLPFCR,meanAmplitude,17.390431039660175,1.9668955655026898,10.383639621836535,5.777257707928109,64.99999999898795,267.7893105726996,1.6747914674435092,0.34045487754571285,0.09878036344391761,0.7337809188960216,.,
DLPFCR,Alpha_bandPower,2.2466829647912627,-10.428601114379443,18.602241792848925,10.034456512492929,64.9999999983749,268.8602720993403,0.12077485013956397,-1.0392791180464835,0.9042419381649824,0.2996086600018755,,
DLPFCR,Beta_bandPower,7.565271328597975,-3.8366718419904133,29.573253975457842,8.886002057589,64.99999999847694,275.9860352793792,0.2558146403123653,-0.43176580616631105,0.7989017951879314,0.6662487417782144,,
DLPFCR,Delta_bandPower,-3.8392549941795093,5.144357990943996,9.613793562343448,8.555240175956353,64.99999999835111,270.79621348086744,-0.3993485994142417,0.6013107621924747,0.6909454977868539,0.548136046278909,,
DLPFCR,Theta_bandPower,-1.1656420706285413,9.78132671203459,18.686951092545943,10.198851284357415,64.99999999877458,261.09229722321555,-0.062377327625880365,0.9590616079515535,0.950453766924652,0.33841497222422623,,
DLPFCR,Alpha_bandITPC,25.016871146049947,-5.417662168800796,11.490749668835464,13.734398137552636,64.99999999823544,20.349145482209146,2.1771313332061557,-0.39445937962056066,0.033107765883842635,0.697345585309338,*,
DLPFCR,Beta_bandITPC,5.624412650197445,6.516402139194784,9.935973110369943,15.619457223859225,64.99999999876626,19.81617904036364,0.5660656070342397,0.4171977326613353,0.5732983708271493,0.6810188826312309,,
DLPFCR,Delta_bandITPC,-13.540788725823395,-4.722181805097336,11.62669967788628,15.634729232002007,64.99999999877474,20.330146752245174,-1.1646287511474704,-0.30203156927282887,0.24842594120773162,0.7656961100106757,,
DLPFCR,Theta_bandITPC,-7.23286337667626,-12.926273124177559,10.980825084187678,14.735253978473292,64.9999999987287,19.22465251396624,-0.658681230346847,-0.8772344978282376,0.5124270416394427,0.3911902801897885,,
