ROI,term,estimate_a50_ay,estimate_a50_an,std_error_a50_ay,std_error_a50_an,df_a50_ay,df_a50_an,t_value_a50_ay,t_value_a50_an,p_value_a50_ay,p_value_a50_an,signif_a50_ay,signif_a50_an
STGR,(Intercept),-23.922763062713763,104.26372032298809,36.91718004416104,67.26247172917171,20.25024575033061,23.2555178320045,-0.6480116583687294,1.550102421790262,0.5242575061517206,0.134620025987423,,
STGR,meanAmplitude,-19.472644477586698,3.836919054651538,9.33572565703819,9.07088211361347,271.5032348147373,268.34126696098673,-2.0858201272127466,0.4229929357028173,0.03792852103428357,0.6726391993088665,*,
STGR,Alpha_bandPower,-3.605163592101633,-6.657080466171548,10.215931818057458,24.437502756264823,271.4886150149012,275.8317992014533,-0.3528962072484886,-0.2724124691695403,0.7244400864511193,0.7855086973347646,,
STGR,Beta_bandPower,-11.258737857414687,21.72539210958117,7.156966417419763,14.688879430871989,274.93645372932565,275.84613757039733,-1.5731159266042356,1.4790367237898598,0.11684200575709605,0.14027153194422426,,
STGR,Delta_bandPower,11.441002860073942,-5.4981601106408675,6.311253718482712,21.027697435092197,261.2477819705788,271.17021253634243,1.8127939978975323,-0.2614722856657254,0.07101131964062837,0.7939268038404207,.,
STGR,Theta_bandPower,-17.057241494673253,19.14301828358576,10.758638576615928,51.192197515771966,264.32735636957983,266.9259729338282,-1.5854460927563305,0.3739440620357805,0.11406059428273854,0.7087427888343492,,
STGR,Alpha_bandITPC,-84.87540279004652,-30.68203819522367,60.13426265577168,44.60348167460524,17.854911819345453,21.88769573054161,-1.411431670425582,-0.6878843768084661,0.17530617051893768,0.49875136106702667,,
STGR,Beta_bandITPC,32.372900679371895,-59.793899321252844,20.0118723266547,46.76480233428631,18.806216915240572,20.05583808348088,1.6176847498798497,-1.27860904647541,0.12238051500249861,0.21563325422873406,,
STGR,Delta_bandITPC,-49.618651859655614,-82.01326654904278,28.602248515536658,39.11501415299417,18.707036554170088,20.749444568898245,-1.7347815096670776,-2.096720871127816,0.09922589697286845,0.04845915818081308,.,*
STGR,Theta_bandITPC,135.94900433455874,239.95202059336705,77.4215366998378,97.14202572557703,18.90908186866498,20.736350335345698,1.755958485577871,2.470115470632901,0.09528086622511957,0.022279880987303456,.,*
