ROI,term,estimate_va_a,estimate_ia_a,std_error_va_a,std_error_ia_a,df_va_a,df_ia_a,t_value_va_a,t_value_ia_a,p_value_va_a,p_value_ia_a,conf_low_va_a,conf_low_ia_a,conf_high_va_a,conf_high_ia_a,signif_va_a,signif_ia_a
PreSMAR,(Intercept),15.224615108993218,16.595654449803934,6.748185363481577,16.50219571270371,17.94939905236446,17.937804306290346,2.256105054757775,1.00566341223479,0.036779145177468026,0.3279516656196019,1.0443383627189835,-18.082790877694574,29.40489185526745,51.27409977730244,*,
PreSMAR,meanAmplitude,-1.7062125770995005,-2.056812592047035,2.318982269330509,2.811617196566161,1061.6166849436233,1019.001410220662,-0.7357592163014185,-0.731540763998395,0.46203976835645544,0.4646171068108311,-6.256522078057855,-7.5740342290312785,2.844096923858854,3.4604090449372094,,
PreSMAR,Alpha_bandPower,3.5853803097053345,0.23544050319358506,3.0494731298817537,3.296482550937056,1057.5517630281165,1017.3612934623153,1.1757376297473265,0.07142173500255868,0.2399643490668486,0.9430761490535016,-2.3983253939414912,-6.233242269452254,9.56908601335216,6.704123275839424,,
PreSMAR,Beta_bandPower,1.809026869440002,-1.6647914117523859,2.8751190358351644,3.098441009916696,1067.6078477208268,1021.8565465616525,0.6292006859168237,-0.5372996956934626,0.5293522879125168,0.59117759219356,-3.8324986578501834,-7.7448257076567435,7.450552396730187,4.415242884151971,,
PreSMAR,Delta_bandPower,-2.8530138293857905,4.108716411954578,2.932743408410028,3.3761502891993214,1052.2580281212508,1015.256998358626,-0.9728139942977615,1.2169826755339705,0.33086932440971484,0.22389362290008458,-8.607704514105883,-2.5163145994693137,2.9016768553343018,10.733747423378471,,
PreSMAR,Theta_bandPower,-2.5815755009615944,2.003739004371946,3.331175413969373,3.669951495718806,1059.9214802029537,1017.7215257734563,-0.7749743499353677,0.5459851463185315,0.43852766787573694,0.5851958049399517,-9.118023410178717,-5.197798283164082,3.9548724082555275,9.205276291907975,,
PreSMAR,Alpha_bandITPC,18.334542062547055,12.185015039002037,7.1739330740963805,24.213659112503567,18.14428248726531,17.934741493916015,2.5557169091456085,0.5032289825501789,0.019779321555824715,0.620927539756374,3.271254210208779,-38.699266367029665,33.39782991488533,63.06929644503374,*,
PreSMAR,Beta_bandITPC,-9.710101587319114,26.9842930810292,6.062050665083191,23.36396820986032,17.926968124088212,17.965208737295033,-1.6017849608628865,1.1549533383477637,0.12667684992324807,0.2632410716507495,-22.449717490279486,-22.108397365921682,3.029514315641258,76.07698352798008,,
PreSMAR,Delta_bandITPC,-1.6782932311450722,-11.537237726931133,8.982976095222375,22.44458262946057,17.994717953240308,17.952373467662547,-0.18683042383221726,-0.5140321794974014,0.8538838427669214,0.6134988632700455,-20.55122278832788,-58.70052458042468,17.194636326037735,35.626049126562414,,
PreSMAR,Theta_bandITPC,-14.651462451504505,0.6855768253938938,7.62765070618447,31.302700391032737,17.909011960774745,17.933143403084976,-1.9208355253636817,0.021901523409472063,0.07081826718986829,0.9827683644061935,-30.682399835518545,-65.09653490747806,1.3794749325095363,66.46768855826585,.,
SMAR,(Intercept),10.005221880254254,13.8190016392262,5.9698579437909585,14.505144640237807,17.700142187663907,17.98269696086215,1.6759564422567772,0.9526965764196366,0.11132039192429917,0.35337499996184685,-2.552231872480224,-16.657278383356896,22.562675632988732,44.2952816618093,,
SMAR,meanAmplitude,1.0121634002849775,-0.09689755592917666,2.429117927744092,2.6229319922507868,1065.3147668639429,1016.3634582570779,0.4166793998449338,-0.03694245836927974,0.6769968647330602,0.9705381403158166,-3.75423552302484,-5.243879094720485,5.778562323594795,5.050083982862132,,
SMAR,Alpha_bandPower,5.267520262868023,-0.9686265532267159,3.5101499042171547,3.2053607793640744,1062.1281150436412,1016.4853763164136,1.500653934049806,-0.30218955677709575,0.13374228802267893,0.762569383957379,-1.6200958660037097,-7.258507665700647,12.155136391739756,5.321254559247216,,
SMAR,Beta_bandPower,-1.7896949844160113,2.088464770740583,2.97560752417729,3.4461216824914986,1066.3489685156467,1023.5382454562183,-0.6014553229464744,0.6060333798865314,0.5476645979753021,0.5446269579703755,-7.6284056917290535,-4.673806038198828,4.049015722897032,8.850735579679993,,
SMAR,Delta_bandPower,-6.3845823618655775,-3.3233414225490465,3.412797227549779,3.4308273753220724,1060.1487453439952,1016.1882527543115,-1.8707769422472822,-0.9686705447361846,0.0616513264104335,0.3329400819706312,-13.081187332642589,-10.055658099309627,0.31202260891143396,3.4089752542115335,.,
SMAR,Theta_bandPower,-6.814957040628475,8.849914683566045,3.5588484778519294,4.030650376379347,1057.8060778619245,1015.3798385980624,-1.9149331821909674,2.1956542634977305,0.055770494434103465,0.028342334595160022,-13.798162060766657,0.9405571027322912,0.16824797950970538,16.759272264399797,.,*
SMAR,Alpha_bandITPC,16.91471072596194,35.591825293453624,6.48256093654562,17.069155069015537,17.758334735765256,18.043882548523026,2.609263667789805,2.0851544877028516,0.017882638894026217,0.051530383130871674,3.282058359480443,-0.26288839993126345,30.547363092443433,71.4465389868385,*,.
SMAR,Beta_bandITPC,-11.442383354713193,-8.035731292139001,7.809745854236846,12.394900497506182,17.80586607634744,17.984602344856253,-1.465141576726932,-0.6483094635375062,0.16031730285394777,0.5249766332695249,-27.862882668212066,-34.07804911751809,4.978115958785679,18.006586533240085,,
SMAR,Delta_bandITPC,0.8901632954243478,16.715769257471905,6.968746221577442,27.771404462807347,18.112810134349623,18.02114668089405,0.12773650626968172,0.6019057941364967,0.8997650094277417,0.5547347153509661,-13.744095822466186,-41.6248793289911,15.52442241331488,75.05641784393491,,
SMAR,Theta_bandITPC,6.810841042245064,-20.952041549213664,6.9084564398999095,24.859302507535887,17.772819634107627,18.005209736196548,0.9858701580441231,-0.8428249965123611,0.33742897916854253,0.41038322988448317,-7.716597217977517,-73.17841490660892,21.338279302467647,31.27433180818159,,
