subject,condition,trial,meanAmplitude,Alpha_bandPower,Beta_bandPower,Delta_bandPower,Theta_bandPower,Alpha_bandITPC,Beta_bandITPC,Delta_bandITPC,Theta_bandITPC
2,a50_an,1,0.13969200090296752,5.7360944694147316,5.84398470712316,5.730629826950516,6.499855268554306,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,2,0.11742656967338623,26.19605753967816,12.649655170688465,26.265961689524495,39.60587451272288,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,3,0.2020398674254381,2.1232104939301255,3.6075538025633023,27.66691168086667,9.356415145018802,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,4,-0.1124708300694715,1.5778250490365773,1.3989774372520787,36.91263597634981,13.772865296973153,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,5,-0.056027305456237346,10.076062552453743,10.9564555255757,8.0944403239342,9.033986710868309,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,6,0.09004845765324289,3.028362727778541,1.3016794834881258,4.814155109890581,3.653956019698748,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,7,-0.02176024486912616,1.6317212106613352,3.694918326250032,5.687089196071581,0.9254233373716181,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,8,0.22768154379073807,5.378704386978843,4.206278051450602,8.829698088919818,4.928546356589371,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,9,-0.14253875747965966,13.6750963852511,5.659125095819287,4.269559624872893,9.71845133871582,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,10,0.06578812368870118,3.986755364951516,2.7766446647850858,13.46536058344545,19.414006019105262,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,11,-0.19974828225455765,6.861654501889357,10.014487030185105,3.824143009915333,7.165803688400784,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,12,0.375416584306807,8.624054029816758,6.203335049860594,6.188760784683238,12.957681695652676,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,13,-0.6221432500161755,10.197708359538005,18.257465664018945,20.053600362345872,12.941829012362449,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,14,-0.23764796237281757,5.225779824329417,7.062480422592237,10.565106920252973,12.464396378199416,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,15,0.010493659814287366,3.7912139955093247,3.4666888284010664,15.384095373444149,9.006546117339953,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,16,0.18897546901464282,3.670247742441075,3.4218952068026884,12.171317157443777,6.569426822818236,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,17,-0.12701955801604167,4.064321190755286,2.7694059479171096,5.555009343250677,8.244169232016988,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,18,-0.13319182839416618,2.884296680545202,14.96608733602294,1.070102279379877,2.0016690509442605,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,19,-0.15974329820370078,15.281023643423232,5.722518300542058,46.801919478597405,25.305307729779102,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,20,0.005254714373510544,6.33455273569132,11.829372482737295,9.565394626416234,13.80169899919588,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,21,-0.19944011707788398,11.409941783359361,13.171974388661425,8.231696067555164,11.012381508560376,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,22,-0.21755987080214514,7.410649725709732,5.088751799594604,17.04444354808346,6.958437986157385,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,23,-0.30075580304110294,3.772943326714197,14.855447074594409,4.943363323904933,10.474430917256905,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,24,-0.8173014116022633,2.1971522392669303,6.053667982110939,37.968302203132794,20.69399465031261,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,25,-0.3421528689749651,9.661390351803867,8.543948425074593,2.8112994960321296,6.495120850130634,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,26,-0.37528550810040934,11.17550770075696,1.740332995923396,1.4692556188162575,4.742304446361158,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,27,-0.047193948750582526,11.085349089434448,2.075049002522334,7.143150385881767,24.24181932685357,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,28,-0.24983092551344363,12.576495121443857,4.498301697847943,19.70300927971452,39.057710340512614,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,29,0.8261997958970686,6.6215789672890235,6.81021148390047,9.153448864710011,10.90547105114492,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a50_an,30,-0.15568318657513464,14.127015001014044,9.45598728114873,0.8206594878350472,2.8691948713924735,0.38044614166310914,0.21865851031998965,0.41072159464065155,0.4692349696501394
2,a75_an,1,0.08042019229345271,4.264483423199647,2.801144416139014,5.830963022010694,6.59993327487125,0.3172965511990213,0.1620355546193381,0.24159620294576617,0.3188227838752436
2,a75_an,2,0.19456286080852514,1.2774697836773952,6.4965532686182055,4.845235723932503,1.1576045503604735,0.3172965511990213,0.1620355546193381,0.24159620294576617,0.3188227838752436
2,a75_an,3,0.4142989807998927,6.624373851967063,4.884800020792736,7.814844404084596,6.956946063175527,0.3172965511990213,0.1620355546193381,0.24159620294576617,0.3188227838752436
2,a75_an,4,0.09061976879871203,2.8407106039884593,5.278071367595101,0.34905936019752853,1.8301637389997136,0.3172965511990213,0.1620355546193381,0.24159620294576617,0.3188227838752436
