subject,condition,trial,meanAmplitude,Alpha_bandPower,Beta_bandPower,Delta_bandPower,Theta_bandPower,Alpha_bandITPC,Beta_bandITPC,Delta_bandITPC,Theta_bandITPC
2,is_s,1,-0.5314963245847305,2.8668266982153465,8.387090642853577,17.147177373212426,7.299151138741784,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,2,-0.5072872865052194,5.092553256951121,3.12263212411051,2.505780422712644,2.582287429502764,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,3,-0.3815129067002138,1.9715469324663275,2.543351755536577,6.624064017936831,17.98814733577808,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,4,-0.0875153216674686,1.7937371912217617,3.6747447055023423,4.7964561788104625,1.438518682380355,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,5,0.4163333666890523,5.280227683591932,1.9296549142406954,36.70195990713949,10.716132306600162,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,6,-0.2721435324955631,1.7435408434172803,4.256065296200053,18.368824395713492,8.770629186112108,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,7,-0.2477562209585491,44.440485480047386,23.623272748296596,31.45287504080631,20.58949083108758,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,8,0.7331990236436001,25.12987076235863,26.126847353393057,31.774290186073493,26.44428665535605,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,9,0.3679367074324672,10.13691502833736,19.359339227761534,15.973059931810976,12.564067955655933,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,10,0.4018988386406153,1.3186136893752407,1.5251936118371283,7.955460988367405,2.452859862453012,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,11,0.7755347591826267,5.201040854995243,6.4130916011129875,1.4010223981781362,5.984046531268032,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,12,-0.8928059400129884,2.802050908679238,11.52180359512001,24.715870452095945,7.776833240445731,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,13,0.47166358347791465,7.573296955517199,18.324390293370875,11.625836500317726,4.889377763934554,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,14,-0.1987832365467944,7.353756015560819,5.400657958053299,24.670286411745884,7.128457220621615,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,15,-0.010499395504287915,6.030056557625231,6.892432683099795,28.954229191469505,27.597748248452874,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,16,0.536403126690089,17.3877937578109,9.070006605164773,17.97539585713814,18.470811443587657,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,17,0.4560937303791081,9.524583478745262,3.572014220224922,4.610209834257977,10.373081739492278,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,18,-0.32248065599631126,12.559915093634018,3.988314554238461,7.47059932088488,10.347484673264665,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,19,-0.35226333386238556,4.59438538367647,5.3712814466844945,9.114071773440298,8.848929872736335,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,20,-0.2228516402545584,3.7041960087855093,3.9666895349423053,24.655019413997795,11.187250338095266,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,21,0.056950198776329335,2.522543755800566,6.648098274870566,2.514714639327143,2.6797893192010527,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,22,-0.06577242445074934,6.192016773638594,11.399954783367587,44.776383002287204,3.1988239449522404,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,23,-0.3854747108798065,14.206042644178401,7.6520863190687125,7.158975422915447,3.8279471396444413,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,24,0.6450492531094966,17.63603165322476,18.575773480780246,73.17598406170315,27.883574289044127,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,25,-0.23503590343802394,5.070004163627919,3.9370442083576522,66.91793897255857,21.88103497442097,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,26,0.18670015679648655,3.7910543535462993,2.0155531996980813,13.470292605407739,10.391835245821051,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,27,0.14128024038970693,2.6467332091184166,6.354774500229285,1.912772169369059,2.0325535185770858,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,28,-1.2390743397847146,17.66056994654895,12.194479372911017,9.053616358944005,3.7520752049589112,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,29,-0.983766644480361,10.586426551741585,3.8370986130751406,2.6095384346316775,3.1816286945825722,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,30,-0.6374233939619178,4.5460159559317175,3.7573537242661867,19.070600087318994,5.773738643730518,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,31,-0.6639005203566258,5.269669857716705,2.0908021783424027,52.55854294883393,5.153050551361471,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,32,0.3806284179191296,6.305995570421878,10.16983733184186,9.5723613819156,3.648103736318512,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,33,-0.18466599894971758,2.400387931053877,9.877140121298979,39.67394892065689,9.110055636295927,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
2,is_s,34,0.8783065560880439,13.79231424337328,6.120715830539746,41.83720983179249,20.15540093527239,0.15561437891950272,0.25641895260260916,0.3075443041046806,0.21085726309188393
